,Year,Incid_Name,Event_ID,BurnBndAc,tst,ted,lon0,lon1,lat0,lat1
0,2012,HELLS HOLLOW,UT4176411148820121004,4758,10/5/2012,10/11/2012 12:00,-111.5383422,-111.4760108,41.72890352,41.80355657
1,2012,KLONE PEAK,WA4796812059020120908,1634,9/13/2012,9/25/2012 12:00,-120.6063595,-120.5585896,47.95710475,47.98674858
2,2012,BASALT,WA4797012073420120908,1705,9/14/2012,10/12/2012 12:00,-120.7683036,-120.723718,47.95251416,47.98115614
3,2012,PYRAMID,WA4805112058820120908,1962,9/9/2012,10/11/2012 12:00,-120.6023936,-120.560177,48.02577895,48.06256789
4,2012,FIRST CREEK,WA4788612026820120908,1434,9/10/2012,9/18/2012 12:00,-120.2745017,-120.2431372,47.87543919,47.91430496
5,2012,BYRD,WA4774112024520120908,14145,9/9/2012,9/15/2012 12:00,-120.2973809,-120.1325438,47.72678043,47.81530839
6,2012,CRANE ROAD,WA4806011985120120801,12720,8/1/2012,8/3/2012 12:00,-119.8763473,-119.7759807,47.95295317,48.06577173
7,2012,ANTOINE 2,WA4793011990920120805,7166,8/5/2012,8/7/2012 12:00,-119.941742,-119.8757989,47.92605995,48.00420789
8,2012,NAVARRE,WA4781412020320120705,1001,7/5/2012,7/8/2012 12:00,-120.2251618,-120.1970637,47.79270998,47.82195542
9,2012,GOAT,WA4803111998320120916,7939,9/16/2012,10/3/2012 12:00,-120.0142723,-119.9332741,47.9769135,48.05960195
10,2012,FOSTER CREEK,WA4794611964120120713,1447,7/13/2012,7/13/2012 12:00,-119.675313,-119.6310033,47.91792485,47.95636677
11,2012,TIMM BROTHERS,WA4807111935120120908,1351,9/10/2012,9/10/2012 12:00,-119.3807784,-119.3326318,48.05360139,48.07621414
12,2012,BUFFALO LAKE ROAD,WA4801011889620120814,11260,8/15/2012,8/17/2012 12:00,-118.9729736,-118.8360228,47.94628172,48.03427627
13,2012,BARKER CANYON COMPLEX,WA4791211911620120908,85906,9/9/2012,9/13/2012 12:00,-119.4448758,-118.9733889,47.88248241,48.14591988
14,2012,UNNAMED,FL3089608676220120213,1761,2/13/2012,2/13/2012 12:00,-86.78586513,-86.74029198,30.8834416,30.92234186
15,2012,UNNAMED,FL3093508656920120225,1258,3/16/2012,3/17/2012 12:00,-86.58374236,-86.53323788,30.93323892,30.9797552
16,2012,UNNAMED,FL3092708685920120305,1312,3/5/2012,3/6/2012 12:00,-86.87083079,-86.83610032,30.91802287,30.94884028
17,2012,LIVERMORE RANCH,TX3060110420720120424,14001,4/25/2012,5/2/2012 12:00,-104.2544119,-104.134337,30.58538402,30.68970488
18,2012,UNNAMED,FL3046608673520120312,1303,3/14/2012,3/16/2012 12:00,-86.74563683,-86.71192264,30.46267151,30.48853651
19,2012,UNNAMED,FL3060208664920120318,1346,3/18/2012,3/21/2012 12:00,-86.66172212,-86.61179882,30.59175135,30.60937178
20,2012,RILEY,TX3293510092320120814,1232,8/14/2012,8/14/2012 12:00,-100.9398598,-100.9138578,32.92449613,32.95831306
21,2012,SPRING MOUNTAIN FIRE,TX3069610431620120424,12528,4/23/2012,4/30/2012 12:00,-104.3578703,-104.2276003,30.65110202,30.74782139
22,2012,UNNAMED,FL3092308682520120328,4627,3/16/2012,4/9/2012 12:00,-86.84354546,-86.79879268,30.89813761,30.97366075
23,2012,TABLE MOUNTAIN COMPLEX,WA4724812058320120908,65887,9/9/2012,10/12/2012 12:00,-120.6620806,-120.3991673,47.18340004,47.39485757
24,2012,POISON,WA4745512051520120908,5529,9/9/2012,9/26/2012 12:00,-120.5620559,-120.4857505,47.43007049,47.48798638
25,2012,MT. CASHMERE,WA4755412085220120908,2298,9/9/2012,10/6/2012 12:00,-120.861046,-120.790876,47.51854728,47.55379857
26,2012,BLUFF CREEK,TX3277009954020120728,2544,7/28/2012,7/30/2012 12:00,-99.54108866,-99.50734938,32.76600177,32.81448441
27,2012,TAYLOR BRIDGE,WA4716512081620120813,23987,8/13/2012,8/21/2012 12:00,-120.8179943,-120.5796058,47.06147831,47.1852626
28,2012,UNNAMED,FL3085908680820120426,1157,4/26/2012,4/26/2012 12:00,-86.82671763,-86.78360906,30.85041026,30.89152206
29,2012,BUCKHORN,WA4817812013520120908,4914,9/9/2012,9/26/2012 12:00,-120.2123455,-120.1169732,48.14455089,48.1915053
