,Year,Incid_Name,Event_ID,BurnBndAc,tst,ted,lon0,lon1,lat0,lat1
0,2012,HELLS HOLLOW,UT4176411148820121004,4758,2012-10-05,2012-10-11 12:00:00,-111.53834217914824,-111.47601084262624,41.72890352297924,41.8035565688806
1,2012,KLONE PEAK,WA4796812059020120908,1634,2012-09-13,2012-09-25 12:00:00,-120.60635946491732,-120.55858958853868,47.957104747186406,47.9867485781844
2,2012,BASALT,WA4797012073420120908,1705,2012-09-14,2012-10-12 12:00:00,-120.76830356395828,-120.72371802326812,47.95251415510421,47.9811561449402
3,2012,PYRAMID,WA4805112058820120908,1962,2012-09-09,2012-10-11 12:00:00,-120.60239359408904,-120.56017699806996,48.025778954435225,48.06256789099541
4,2012,FIRST CREEK,WA4788612026820120908,1434,2012-09-10,2012-09-18 12:00:00,-120.27450169519705,-120.2431372479856,47.8754391944633,47.91430495790752
5,2012,BYRD,WA4774112024520120908,14145,2012-09-09,2012-09-15 12:00:00,-120.2973809498709,-120.13254378037112,47.72678042747481,47.81530838567352
6,2012,CRANE ROAD,WA4806011985120120801,12720,2012-08-01,2012-08-03 12:00:00,-119.87634733056484,-119.77598072932716,47.95295316905356,48.06577172848256
7,2012,ANTOINE 2,WA4793011990920120805,7166,2012-08-05,2012-08-07 12:00:00,-119.94174198370553,-119.87579890599466,47.92605995050639,48.0042078931798
8,2012,NAVARRE,WA4781412020320120705,1001,2012-07-05,2012-07-08 12:00:00,-120.2251617994774,-120.19706372321224,47.79270998387869,47.82195542060623
9,2012,GOAT,WA4803111998320120916,7939,2012-09-16,2012-10-03 12:00:00,-120.0142723462917,-119.93327405635256,47.97691350145698,48.05960195206848
10,2012,FOSTER CREEK,WA4794611964120120713,1447,2012-07-13,2012-07-13 12:00:00,-119.67531296851864,-119.6310033218458,47.91792484965214,47.95636677070996
11,2012,TIMM BROTHERS,WA4807111935120120908,1351,2012-09-10,2012-09-10 12:00:00,-119.3807783821166,-119.33263182559824,48.053601394788586,48.07621413537413
12,2012,BUFFALO LAKE ROAD,WA4801011889620120814,11260,2012-08-15,2012-08-17 12:00:00,-118.97297362553236,-118.83602275904308,47.94628172112459,48.03427627433064
13,2012,BARKER CANYON COMPLEX,WA4791211911620120908,85906,2012-09-09,2012-09-13 12:00:00,-119.44487582705771,-118.97338889378238,47.88248241493153,48.14591987580167
14,2012,UNNAMED,FL3089608676220120213,1761,2012-02-13,2012-02-13 12:00:00,-86.7858651323699,-86.74029198228914,30.883441603747087,30.922341857990432
16,2012,UNNAMED,FL3092708685920120305,1312,2012-03-05,2012-03-06 12:00:00,-86.8708307887099,-86.83610031937422,30.918022871958044,30.948840281353966
17,2012,LIVERMORE RANCH,TX3060110420720120424,14001,2012-04-25,2012-05-02 12:00:00,-104.25441188350158,-104.13433701014486,30.58538402305425,30.689704878577345
19,2012,UNNAMED,FL3060208664920120318,1346,2012-03-18,2012-03-21 12:00:00,-86.66172212267776,-86.61179881965978,30.59175134634762,30.609371777585523
20,2012,RILEY,TX3293510092320120814,1232,2012-08-14,2012-08-14 12:00:00,-100.9398598386606,-100.9138577610268,32.92449612959274,32.95831305860082
21,2012,SPRING MOUNTAIN FIRE,TX3069610431620120424,12528,2012-04-23,2012-04-30 12:00:00,-104.35787032335668,-104.22760026404092,30.65110202294005,30.74782138584834
22,2012,UNNAMED,FL3092308682520120328,4627,2012-03-16,2012-04-09 12:00:00,-86.84354545855604,-86.79879268173681,30.898137613260303,30.9736607451473
23,2012,TABLE MOUNTAIN COMPLEX,WA4724812058320120908,65887,2012-09-09,2012-10-12 12:00:00,-120.66208059374436,-120.39916729013828,47.18340003778155,47.3948575693214
24,2012,POISON,WA4745512051520120908,5529,2012-09-09,2012-09-26 12:00:00,-120.5620559246412,-120.48575054265336,47.43007049435789,47.48798637547088
25,2012,MT. CASHMERE,WA4755412085220120908,2298,2012-09-09,2012-10-06 12:00:00,-120.86104602495408,-120.7908760427951,47.51854728203148,47.55379856944848
26,2012,BLUFF CREEK,TX3277009954020120728,2544,2012-07-28,2012-07-30 12:00:00,-99.54108865981374,-99.5073493800698,32.76600177146463,32.81448440912823
27,2012,TAYLOR BRIDGE,WA4716512081620120813,23987,2012-08-13,2012-08-21 12:00:00,-120.81799431218776,-120.57960577888356,47.061478311275096,47.18526260298677
28,2012,UNNAMED,FL3085908680820120426,1157,2012-04-26,2012-04-26 12:00:00,-86.82671762501832,-86.78360905891088,30.850410263123194,30.89152205909579
29,2012,BUCKHORN,WA4817812013520120908,4914,2012-09-09,2012-09-26 12:00:00,-120.21234548545571,-120.11697322423488,48.14455089270956,48.19150529623249
30,2012,OKANOGAN COMPLEX,WA4816512002120120909,1377,2012-09-10,2012-09-15 12:00:00,-120.01718753287832,-119.95072487455326,48.21339934720214,48.244688231576674
31,2012,UNNAMED,FL3047108670420120515,2564,2012-05-15,2012-06-13 12:00:00,-86.75659386441527,-86.69904808490116,30.442570808895766,30.48173101757243
32,2012,CASCADE CREEK,WA4612512155020120909,20655,2012-09-09,2012-10-11 12:00:00,-121.6122216127372,-121.47304109666923,46.08225975898074,46.21229203934621
33,2012,UNNAMED,FL3095508685320120923,1655,2012-09-22,2012-09-23 12:00:00,-86.86707165942948,-86.83629622139347,30.94250581838884,30.98229690327952
34,2012,HIGHWAY 141,WA4576012151620120905,2080,2012-09-05,2012-09-09 12:00:00,-121.52903848733628,-121.48410465090888,45.74398997146005,45.78738398328426
35,2012,HORSETHIEF,WA4564912112420120726,1042,2012-07-27,2012-07-27 12:00:00,-121.1373450330468,-121.07301011402552,45.62830875934185,45.6585687284641
36,2012,WHITEWATER-BALDY,NM3326710859220120509,306923,2012-05-11,2012-06-20 12:00:00,-108.83000791623232,-108.31549813483105,33.08520961523163,33.563673082446826
37,2012,UNNAMED,FL3097408696320120925,1639,2012-09-26,2012-09-26 12:00:00,-86.98936133455788,-86.95812933859804,30.96035475386884,30.99209397915388
38,2012,WILD ROSE,WA4668812104420120908,2134,2012-09-09,2012-09-20 12:00:00,-121.0666601584395,-121.0071575449847,46.67179439659418,46.69665782819629
