layer,category,min,max,nan
fline,fire_spread,0,1,null
fperim,fire_spread,0,1,null
nfp,fire_spread,0,1,null
frp,frp,0,5000,null
adj,fuel_topo,0,1,null
asp,fuel_topo,0,360,-1
cbd,fuel_topo,0,45,-9999
cbh,fuel_topo,0,510,-9999
cc,fuel_topo,0,100,-9999
ch,fuel_topo,0,510,-9999
dem,fuel_topo,0,10000,null
fbfm40,fuel_topo,91,204,-9999
ignition_mask,fuel_topo,0,1,null
phi,fuel_topo,-1,1,null
slp,fuel_topo,0,90,null
lh,high_res_climate,0,300,null
lw,high_res_climate,0,300,null
m1,high_res_climate,0,100,null
m10,high_res_climate,0,100,null
m100,high_res_climate,0,100,null
wd,high_res_climate,0,360,null
ws,high_res_climate,0,500,null
200evt,landfire,4401,9999,-9999
200f13_20,landfire,1,99,-9999
200f40_20,landfire,91,204,-9999
240roads_23,landfire,0,23,-9999
asp2020,landfire,0,360,-1
elev2020,landfire,0,10000,null
slpd2020,landfire,0,90,null
d2m,low_res_climate,150,400,null
sp,low_res_climate,50000,110000,null
t2m,low_res_climate,150,400,null
tp,low_res_climate,0,1,null
