UTC	Local	fline_area_km2	fperim_area_km2	nfp_area_km2	fline	fperim	nfp	u_mean	v_mean	ws_mean	wd_mean	d2m	lh	lw	m1	m10	m100	sp	t2m	tp	230evt	230fbfm13	230fbfm40	240roads_23	adj	asp2020	cbd	cbh	cc	ch	elev2020	slpd2020	mean_rh	vpd
2021-08-14 00:00:00	2021-08-13 16:00:00							3.941849	0.849335	4.032312	257.840591	5.921381	41.061905	67.039391	7.773688	7.767420	6.664326	84887.625000	29.311823	0.029657	7269.921875	16.044621	153.783157	1.666331	1.000000	258.740382	7.279062	12.012074	37.510254	186.545074	1795.215576	14.335217	22.803682	3.148396
2021-08-14 00:30:00	2021-08-13 16:30:00																																	
2021-08-14 01:00:00	2021-08-13 17:00:00							2.817417	0.393305	2.844736	262.053003	6.717401	41.061905	67.039391	6.520590	7.541725	6.650647	84882.843750	27.953302	0.000139													26.065519	2.787082
2021-08-14 01:30:00	2021-08-13 17:30:00																																	
2021-08-14 02:00:00	2021-08-13 18:00:00							2.088834	0.102850	2.091365	267.181144	7.619165	41.061905	67.039391	6.238679	7.398637	6.643851	84905.640625	26.344720	0.000155													30.469149	2.385290
2021-08-14 02:30:00	2021-08-13 18:30:00																																	
2021-08-14 03:00:00	2021-08-13 19:00:00							0.669386	-0.703009	0.970721	316.403454	8.545038	41.061905	67.039391	6.626321	7.363912	6.647475	84917.851562	24.438501	0.000155													36.340738	1.950113
2021-08-14 03:30:00	2021-08-13 19:30:00																																	
2021-08-14 04:00:00	2021-08-13 20:00:00							-0.308214	-0.734529	0.796573	22.763313	10.254541	41.061905	67.039391	7.222369	7.404947	6.658942	84965.414062	23.017542	0.000155													44.412487	1.563354
2021-08-14 04:30:00	2021-08-13 20:30:00																																	
2021-08-14 05:00:00	2021-08-13 21:00:00							-1.684420	-0.395322	1.730188	76.792099	9.520837	41.061905	67.039391	7.558230	7.449108	6.671037	84996.250000	21.761560	0.000155													45.633184	1.416663
2021-08-14 05:30:00	2021-08-13 21:30:00																																	
2021-08-14 06:00:00	2021-08-13 22:00:00							-1.216425	0.002279	1.216428	90.107346	9.741510	41.061905	67.039391	7.808994	7.504238	6.684637	84984.429688	20.528070	0.000155													49.956304	1.208965
2021-08-14 06:30:00	2021-08-13 22:30:00																																	
2021-08-14 07:00:00	2021-08-13 23:00:00							-0.879188	-0.210182	0.903963	76.554962	9.551935	41.061905	67.039391	7.812381	7.532362	6.695713	84952.312500	19.753717	0.000582													51.743102	1.111293
2021-08-14 07:30:00	2021-08-13 23:30:00																																	
2021-08-14 08:00:00	2021-08-14 00:00:00							-1.094381	-0.234309	1.119183	77.915298	9.746759	41.061905	67.039391	7.800142	7.555431	6.706409	84974.539062	19.427789	0.000582													53.496898	1.049448
2021-08-14 08:30:00	2021-08-14 00:30:00																																	
2021-08-14 09:00:00	2021-08-14 01:00:00							-1.457525	-0.185510	1.469283	82.746536	9.592889	41.061905	67.039391	7.704568	7.560266	6.715248	84952.570312	19.525507	0.000582													52.626067	1.075614
2021-08-14 09:30:00	2021-08-14 01:30:00																																	
2021-08-14 10:00:00	2021-08-14 02:00:00							-0.897372	-0.321295	0.953156	70.300568	9.440424	41.061905	67.039391	7.620412	7.558098	6.723287	84952.875000	18.967340	0.001440													53.931252	1.010251
2021-08-14 10:30:00	2021-08-14 02:30:00																																	
2021-08-14 11:00:00	2021-08-14 03:00:00							-1.408647	-0.019490	1.408781	89.207291	9.519281	41.061905	67.039391	7.640081	7.567275	6.732457	84927.617188	18.173761	0.001440													56.979527	0.897686
2021-08-14 11:30:00	2021-08-14 03:30:00																																	
2021-08-14 12:00:00	2021-08-14 04:00:00							-0.890466	0.507877	1.025119	119.698257	9.871118	41.061905	67.039391	7.631804	7.572353	6.741183	84939.617188	17.731836	0.001440													59.986767	0.812046
2021-08-14 12:30:00	2021-08-14 04:30:00																																	
2021-08-14 13:00:00	2021-08-14 05:00:00							-1.018786	-0.094834	1.023190	84.681900	10.214166	41.061905	67.039391	7.607057	7.573252	6.749419	84940.304688	17.061670	0.001446													64.035746	0.699618
2021-08-14 13:30:00	2021-08-14 05:30:00																																	
2021-08-14 14:00:00	2021-08-14 06:00:00							-1.926316	-0.057819	1.927183	88.280762	10.592310	41.061905	67.039391	7.778635	7.607285	6.761178	84975.476562	17.187372	0.002304													65.153132	0.683298
2021-08-14 14:30:00	2021-08-14 06:30:00																																	
